Seed, Instance, GS_level,  Iterations, H , GS_Move, GS_Move_Val, UCT_Move, UCT_Move_Val, UCT_GS_Move_Val, CDP_Move, CDP_Move_Val, CDP_GS_Move_Val, MM_Move, MM_Move_Val, MM_GS_Move_Val
642, 642, 12, 5000, h3 , 6, 0.000000, 5, 0.058824, 0.000000, 5, 0.058824 , 0.000000, 0, -1.000000 , 0.000000
643, 643, 12, 5000, h3 , 0, 1.000000, 0, 0.187103, 0.187103, 0, 0.193120 , 0.193120, 0, 1.000000 , 1.000000
644, 644, 12, 5000, h3 , 3, 1.000000, 3, 0.137531, 0.137531, 3, 0.137531 , 0.137531, 5, 0.000000 , -1.000000
645, 645, 12, 5000, h3 , 2, 1.000000, 2, 0.076683, 0.076683, 2, 0.074636 , 0.074636, 2, 1.000000 , 1.000000
646, 646, 12, 5000, h3 , 6, 0.000000, 3, 0.183935, 0.000000, 3, 0.182279 , 0.000000, 3, 0.000000 , 0.000000
647, 647, 12, 5000, h3 , 0, 1.000000, 1, 0.610963, 0.063492, 1, 0.610963 , 0.063492, 0, 1.000000 , 1.000000
648, 648, 12, 5000, h3 , 2, 1.000000, 1, 0.072961, -999999999.000000, 1, 0.073156 , -999999999.000000, 4, 0.000000 , -999999999.000000
649, 649, 12, 5000, h3 , 0, 1.000000, 4, 0.143614, 0.095147, 4, 0.145985 , 0.106731, 0, 1.000000 , 1.000000
650, 650, 12, 5000, h3 , 0, 1.000000, 1, 0.280914, 0.093750, 1, 0.280914 , 0.093750, 0, 1.000000 , 1.000000
651, 651, 12, 5000, h3 , 2, 1.000000, 2, 0.155759, 0.155759, 2, 0.154049 , 0.154049, 0, 1.000000 , 1.000000
652, 652, 12, 5000, h3 , 0, 1.000000, 4, 0.065601, -0.028021, 1, 0.063927 , -0.028021, 2, 1.000000 , -1.000000
653, 653, 12, 5000, h3 , 0, 1.000000, 4, 0.160963, 0.070818, 4, 0.160963 , 0.070818, 0, 1.000000 , 1.000000
654, 654, 12, 5000, h3 , 1, 0.000000, 2, 0.035658, 0.017730, 0, 0.031298 , 0.017730, 0, 1.000000 , -1.000000
655, 655, 12, 5000, h3 , 0, 1.000000, 1, 0.404218, 0.045833, 1, 0.405589 , 0.045833, 1, 1.000000 , -1.000000
656, 656, 12, 5000, h3 , 0, 1.000000, 4, 0.137655, 0.088636, 4, 0.137655 , 0.088636, 0, 1.000000 , 1.000000
657, 657, 12, 5000, h3 , 0, 1.000000, 0, 0.145135, 0.145135, 0, 0.145135 , 0.145135, 0, 1.000000 , 1.000000
658, 658, 12, 5000, h3 , 2, 1.000000, 2, 0.235484, 0.235484, 2, 0.236587 , 0.236587, 0, 1.000000 , 0.000000
659, 659, 12, 5000, h3 , 0, 1.000000, 0, 0.211587, 0.211587, 0, 0.214646 , 0.214646, 0, 1.000000 , 1.000000
660, 660, 12, 5000, h3 , 0, 1.000000, 0, 0.023111, 0.023111, 0, 0.023111 , 0.023111, 3, 0.000000 , -1.000000
661, 661, 12, 5000, h3 , 2, 1.000000, 2, 0.084097, 0.084097, 2, 0.080890 , 0.080890, 2, 0.000000 , 0.000000
662, 662, 12, 5000, h3 , 6, 0.000000, 5, 0.112652, 0.000000, 5, 0.114783 , 0.000000, 0, -1.000000 , 0.000000
663, 663, 12, 5000, h3 , 0, 1.000000, 1, 0.127860, 0.090649, 1, 0.124661 , 0.084534, 0, 1.000000 , 1.000000
664, 664, 12, 5000, h3 , 0, 1.000000, 0, 0.048713, 0.048713, 0, 0.051613 , 0.051613, 0, 1.000000 , 1.000000
665, 665, 12, 5000, h3 , 3, 1.000000, 4, 0.557167, 0.285714, 4, 0.556731 , 0.267606, 1, 1.000000 , 1.000000
666, 666, 12, 5000, h3 , 0, 1.000000, 2, 0.068627, 0.044053, 2, 0.073543 , 0.044053, 0, 1.000000 , 1.000000
667, 667, 12, 5000, h3 , 0, 0.000000, 0, 0.162089, 0.162089, 0, 0.162089 , 0.162089, 0, 1.000000 , 1.000000
668, 668, 12, 5000, h3 , 0, 1.000000, 0, 0.187446, 0.187446, 0, 0.183638 , 0.183638, 0, 1.000000 , 1.000000
669, 669, 12, 5000, h3 , 2, 1.000000, 3, 0.074045, 0.053723, 3, 0.082547 , 0.053723, 0, 1.000000 , 1.000000
670, 670, 12, 5000, h3 , 0, 1.000000, 3, 0.137201, 0.106187, 3, 0.136799 , 0.106187, 2, 1.000000 , 0.000000
671, 671, 12, 5000, h3 , 0, 1.000000, 2, 0.110823, 0.019635, 2, 0.110823 , 0.019635, 0, 1.000000 , 1.000000
672, 672, 12, 5000, h3 , 3, 1.000000, 3, 0.143172, 0.143172, 3, 0.143172 , 0.143172, 3, 1.000000 , 1.000000
673, 673, 12, 5000, h3 , 0, 1.000000, 3, 0.023443, 0.006509, 3, 0.023443 , 0.006509, 0, 0.000000 , 0.000000
674, 674, 12, 5000, h3 , 0, 1.000000, 0, 0.104446, 0.104446, 0, 0.107092 , 0.107092, 0, 1.000000 , 1.000000
675, 675, 12, 5000, h3 , 0, 1.000000, 0, 0.111043, 0.111043, 0, 0.109681 , 0.109681, 0, 1.000000 , 1.000000
676, 676, 12, 5000, h3 , 1, 1.000000, 5, 0.170033, -0.020101, 5, 0.171018 , -0.010204, 3, 1.000000 , -1.000000
677, 677, 12, 5000, h3 , 1, 1.000000, 4, 0.426410, -0.017341, 4, 0.426410 , 0.005917, 0, 1.000000 , -1.000000
678, 678, 12, 5000, h3 , 1, 1.000000, 1, 0.278376, 0.278376, 1, 0.275524 , 0.275524, 1, 1.000000 , 1.000000
679, 679, 12, 5000, h3 , 6, 0.000000, 0, 0.100529, 0.000000, 0, 0.096631 , 0.000000, 0, 1.000000 , 0.000000
680, 680, 12, 5000, h3 , 0, 1.000000, 2, 0.049799, -0.003827, 2, 0.049799 , 0.003856, 0, -1.000000 , -1.000000
681, 681, 12, 5000, h3 , 1, 1.000000, 3, 0.114249, 0.097412, 3, 0.116474 , 0.097412, 1, 1.000000 , 1.000000
682, 682, 12, 5000, h3 , 3, 0.000000, 3, 0.131404, 0.131404, 3, 0.131404 , 0.131404, 0, -1.000000 , -1.000000
683, 683, 12, 5000, h3 , 0, 1.000000, 1, 0.034280, 0.007344, 1, 0.034280 , 0.007344, 3, 1.000000 , 0.000000
684, 684, 12, 5000, h3 , 0, 1.000000, 0, 0.082628, 0.082628, 0, 0.086871 , 0.086871, 1, 1.000000 , 0.000000
685, 685, 12, 5000, h3 , 4, 1.000000, 4, 0.088462, 0.088462, 4, 0.090559 , 0.090559, 4, 1.000000 , 1.000000
686, 686, 12, 5000, h3 , 0, 1.000000, 0, 0.066949, 0.066949, 0, 0.066949 , 0.066949, 0, 1.000000 , 1.000000
687, 687, 12, 5000, h3 , 0, 1.000000, 1, 0.252242, 0.162162, 1, 0.254409 , 0.162162, 0, -1.000000 , -1.000000
688, 688, 12, 5000, h3 , 0, 1.000000, 1, 0.117123, 0.100083, 1, 0.120690 , 0.100083, 0, 1.000000 , 1.000000
689, 689, 12, 5000, h3 , 1, 1.000000, 3, 0.171106, 0.156528, 3, 0.171106 , 0.156528, 1, 1.000000 , 1.000000
690, 690, 12, 5000, h3 , 0, 1.000000, 1, 0.086589, -0.011984, 1, 0.086589 , -0.011984, 0, 1.000000 , 1.000000
691, 691, 12, 5000, h3 , 0, 1.000000, 1, 0.185545, 0.089744, 1, 0.185545 , 0.089744, 0, 1.000000 , 1.000000
692, 692, 12, 5000, h3 , 0, 1.000000, 2, 0.109578, 0.071982, 2, 0.105392 , 0.065775, 0, 1.000000 , 1.000000
693, 693, 12, 5000, h3 , 0, 1.000000, 2, 0.452635, 0.118380, 2, 0.454989 , 0.118380, 0, 1.000000 , 1.000000
694, 694, 12, 5000, h3 , 0, 1.000000, 0, 0.131271, 0.131271, 0, 0.133609 , 0.133609, 0, 1.000000 , 1.000000
695, 695, 12, 5000, h3 , 0, 1.000000, 0, 0.097458, 0.097458, 0, 0.097458 , 0.097458, 0, 0.000000 , 0.000000
696, 696, 12, 5000, h3 , 4, 0.000000, 1, 0.109052, 0.081308, 1, 0.112223 , 0.081308, 0, -1.000000 , -1.000000
697, 697, 12, 5000, h3 , 0, 1.000000, 2, 0.237223, 0.060550, 2, 0.235825 , 0.060550, 2, 0.000000 , -1.000000
698, 698, 12, 5000, h3 , 0, 1.000000, 2, 0.097800, 0.084259, 2, 0.098856 , 0.084259, 0, 1.000000 , 1.000000
699, 699, 12, 5000, h3 , 0, 1.000000, 2, 0.102608, 0.049310, 2, 0.105862 , 0.049310, 0, 1.000000 , 1.000000
700, 700, 12, 5000, h3 , 0, 1.000000, 2, 0.118588, 0.070833, 2, 0.112676 , 0.066107, 0, 1.000000 , 1.000000
701, 701, 12, 5000, h3 , 0, 1.000000, 0, 0.122720, 0.122720, 0, 0.124118 , 0.124118, 0, 1.000000 , 1.000000
702, 702, 12, 5000, h3 , 0, 0.000000, 3, 0.024341, -0.076040, 3, 0.021074 , -0.076040, 0, 1.000000 , 1.000000
703, 703, 12, 5000, h3 , 1, 1.000000, 4, 0.107031, 0.104200, 4, 0.107031 , 0.104200, 0, 1.000000 , 1.000000
704, 704, 12, 5000, h3 , 1, 1.000000, 3, 0.215209, 0.049587, 3, 0.219585 , 0.041736, 3, 1.000000 , -1.000000
705, 705, 12, 5000, h3 , 1, 1.000000, 4, 0.175000, 0.001802, 4, 0.175545 , 0.001802, 1, -1.000000 , -1.000000
706, 706, 12, 5000, h3 , 0, 0.000000, 5, 0.233911, 0.117424, 5, 0.235998 , 0.110687, 0, 1.000000 , 1.000000
707, 707, 12, 5000, h3 , 3, 1.000000, 4, 0.377644, 0.159389, 4, 0.373525 , 0.159389, 3, 1.000000 , 1.000000
708, 708, 12, 5000, h3 , 0, 1.000000, 0, 0.267828, 0.267828, 0, 0.269630 , 0.269630, 0, 1.000000 , 1.000000
709, 709, 12, 5000, h3 , 0, 1.000000, 0, 0.068800, 0.068800, 4, 0.063280 , 0.062802, 3, 0.000000 , -1.000000
710, 710, 12, 5000, h3 , 6, 0.000000, 2, -0.001914, 0.000000, 2, -0.003857 , 0.000000, 0, -1.000000 , 0.000000
711, 711, 12, 5000, h3 , 0, 1.000000, 2, 0.082073, 0.061511, 2, 0.081530 , 0.062555, 0, 1.000000 , 1.000000
712, 712, 12, 5000, h3 , 0, 1.000000, 0, 0.064086, 0.064086, 0, 0.062301 , 0.062301, 0, 1.000000 , 1.000000
713, 713, 12, 5000, h3 , 0, 1.000000, 5, 0.181780, 0.096840, 5, 0.183913 , 0.096840, 5, 1.000000 , -1.000000
714, 714, 12, 5000, h3 , 6, 0.000000, 3, 0.115364, 0.000000, 3, 0.115364 , 0.000000, 0, -1.000000 , 0.000000
715, 715, 12, 5000, h3 , 1, 1.000000, 1, -0.012596, -0.012596, 1, -0.012596 , -0.012596, 1, 1.000000 , 1.000000
716, 716, 12, 5000, h3 , 6, 0.000000, 2, 0.246094, 0.000000, 2, 0.250535 , 0.000000, 0, 1.000000 , 0.000000
717, 717, 12, 5000, h3 , 2, 1.000000, 2, 0.001628, 0.001628, 2, 0.002183 , 0.002183, 0, -1.000000 , -1.000000
718, 718, 12, 5000, h3 , 0, 1.000000, 3, 0.389745, 0.123967, 3, 0.390691 , 0.123967, 0, 1.000000 , 1.000000
719, 719, 12, 5000, h3 , 0, 0.000000, 0, 0.031417, 0.031417, 0, 0.031417 , 0.031417, 0, 1.000000 , 1.000000
