pits,back_propagation,heuristics,c,policy,iterations,seed,num_games,type_system,sts_size,mm_level,domain, max_alg, min_alg, num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games,max_time,min_time
6,2,2,2.5,1,5000,0,100,2,100,7,0,BFB,MINMAX,100,41,0,0.016949,0.983051,1,0.015679,0.015663
6,2,2,2.5,1,5000,0,100,2,5000,3,0,BFB,MINMAX,100,15,0,1.000000,0.000000,85,0.036787,0.044118
6,2,2,2.5,1,5000,0,100,2,5000,4,0,BFB,MINMAX,100,24,0,1.000000,0.000000,76,0.017310,0.021241
6,2,2,2.5,1,5000,0,100,2,5000,5,0,BFB,MINMAX,100,29,0,0.915493,0.084507,65,0.016514,0.018959
6,2,2,2.5,1,5000,0,100,2,5000,6,0,BFB,MINMAX,100,49,0,0.803922,0.196078,41,0.016154,0.017748
6,2,2,2.5,1,5000,0,100,2,5000,7,0,BFB,MINMAX,100,67,0,0.484848,0.515152,16,0.016346,0.017631
6,2,2,2.5,1,5000,0,100,2,500,3,0,BFB,MINMAX,100,34,0,0.924242,0.075758,61,0.033013,0.044470
6,2,2,2.5,1,5000,0,100,2,500,4,0,BFB,MINMAX,100,43,0,0.824561,0.175439,47,0.014901,0.018621
6,2,2,2.5,1,5000,0,100,2,500,5,0,BFB,MINMAX,100,53,0,0.723404,0.276596,34,0.014488,0.017234
6,2,2,2.5,1,5000,0,100,2,500,6,0,BFB,MINMAX,100,54,0,0.521739,0.478261,24,0.014640,0.016788
6,2,2,2.5,1,5000,0,100,2,500,7,0,BFB,MINMAX,100,57,0,0.302326,0.697674,13,0.014479,0.015522
6,2,2,2.5,1,5000,0,100,2,700,3,0,BFB,MINMAX,100,32,0,0.955882,0.044118,65,0.033614,0.042244
6,2,2,2.5,1,5000,0,100,2,700,4,0,BFB,MINMAX,100,43,0,0.912281,0.087719,52,0.015335,0.019303
6,2,2,2.5,1,5000,0,100,2,700,5,0,BFB,MINMAX,100,56,0,0.727273,0.272727,32,0.014991,0.017488
6,2,2,2.5,1,5000,0,100,2,700,6,0,BFB,MINMAX,100,60,0,0.575000,0.425000,23,0.014521,0.016234
6,2,2,2.5,1,5000,0,100,2,700,7,0,BFB,MINMAX,100,60,0,0.375000,0.625000,15,0.014224,0.015606
6,2,2,2.5,2,100000,0,100,2,1000,3,0,BFB,MINMAX,100,28,0,0.986111,0.013889,71,0.354874,0.446416
6,2,2,2.5,2,100000,0,100,2,1000,4,0,BFB,MINMAX,100,35,0,0.953846,0.046154,62,0.315308,0.422599
6,2,2,2.5,2,100000,0,100,2,1000,5,0,BFB,MINMAX,100,50,0,0.860000,0.140000,43,0.327646,0.406712
6,2,2,2.5,2,100000,0,100,2,1000,6,0,BFB,MINMAX,100,58,0,0.571429,0.428571,24,0.319648,0.375688
6,2,2,2.5,2,100000,0,100,2,1000,7,0,BFB,MINMAX,100,52,0,0.562500,0.437500,27,0.323213,0.352613
6,2,2,2.5,2,100000,0,100,2,100,3,0,BFB,MINMAX,100,44,0,0.839286,0.160714,47,0.379717,0.454808
6,2,2,2.5,2,100000,0,100,2,100,4,0,BFB,MINMAX,100,51,0,0.612245,0.387755,30,0.393893,0.499181
6,2,2,2.5,2,100000,0,100,2,100,5,0,BFB,MINMAX,100,57,0,0.534884,0.465116,23,0.376355,0.409882
6,2,2,2.5,2,100000,0,100,2,100,6,0,BFB,MINMAX,100,53,0,0.191489,0.808511,9,0.383968,0.413560
6,2,2,2.5,2,100000,0,100,2,100,7,0,BFB,MINMAX,100,46,0,0.111111,0.888889,6,0.372524,0.367814
6,2,2,2.5,2,100000,0,100,2,5000,3,0,BFB,MINMAX,100,17,0,0.987952,0.012048,82,0.339745,0.429836
6,2,2,2.5,2,100000,0,100,2,5000,4,0,BFB,MINMAX,100,21,0,0.987342,0.012658,78,0.338060,0.425546
6,2,2,2.5,2,100000,0,100,2,5000,5,0,BFB,MINMAX,100,34,0,0.939394,0.060606,62,0.328439,0.395450
6,2,2,2.5,2,100000,0,100,2,5000,6,0,BFB,MINMAX,100,49,0,0.882353,0.117647,45,0.338602,0.377719
6,2,2,2.5,2,100000,0,100,2,5000,7,0,BFB,MINMAX,100,63,0,0.621622,0.378378,23,0.320513,0.362287
6,2,2,2.5,2,100000,0,100,2,500,3,0,BFB,MINMAX,100,24,0,1.000000,0.000000,76,0.368916,0.460501
6,2,2,2.5,2,100000,0,100,2,500,4,0,BFB,MINMAX,100,41,0,0.966102,0.033898,57,0.320400,0.434881
6,2,2,2.5,2,100000,0,100,2,500,5,0,BFB,MINMAX,100,57,0,0.837209,0.162791,36,0.337683,0.406402
6,2,2,2.5,2,100000,0,100,2,500,6,0,BFB,MINMAX,100,53,0,0.446809,0.553191,21,0.306585,0.360818
6,2,2,2.5,2,100000,0,100,2,500,7,0,BFB,MINMAX,100,67,0,0.393939,0.606061,13,0.326505,0.359455
6,2,2,2.5,2,100000,0,100,2,700,3,0,BFB,MINMAX,100,20,0,1.000000,0.000000,80,0.336713,0.443692
6,2,2,2.5,2,100000,0,100,2,700,4,0,BFB,MINMAX,100,30,0,0.885714,0.114286,62,0.349250,0.443644
6,2,2,2.5,2,100000,0,100,2,700,5,0,BFB,MINMAX,100,53,0,0.765957,0.234043,36,0.336309,0.393016
6,2,2,2.5,2,100000,0,100,2,700,6,0,BFB,MINMAX,100,47,0,0.641509,0.358491,34,0.319847,0.382710
6,2,2,2.5,2,100000,0,100,2,700,7,0,BFB,MINMAX,100,56,0,0.340909,0.659091,15,0.306962,0.369199
6,2,2,2.5,2,10000,0,100,2,1000,3,0,BFB,MINMAX,100,24,0,0.986842,0.013158,75,0.034022,0.044818
6,2,2,2.5,2,10000,0,100,2,1000,4,0,BFB,MINMAX,100,39,0,0.934426,0.065574,57,0.031837,0.041563
6,2,2,2.5,2,10000,0,100,2,1000,5,0,BFB,MINMAX,100,41,0,0.881356,0.118644,52,0.033899,0.040795
6,2,2,2.5,2,10000,0,100,2,1000,6,0,BFB,MINMAX,100,54,0,0.565217,0.434783,26,0.031177,0.035851
6,2,2,2.5,2,10000,0,100,2,1000,7,0,BFB,MINMAX,100,57,0,0.488372,0.511628,21,0.030431,0.033775
6,2,2,2.5,2,10000,0,100,2,100,3,0,BFB,MINMAX,100,41,0,0.881356,0.118644,52,0.035500,0.043570
6,2,2,2.5,2,10000,0,100,2,100,4,0,BFB,MINMAX,100,56,0,0.590909,0.409091,26,0.033866,0.045768
6,2,2,2.5,2,10000,0,100,2,100,5,0,BFB,MINMAX,100,53,0,0.297872,0.702128,14,0.035180,0.039565
6,2,2,2.5,2,10000,0,100,2,100,6,0,BFB,MINMAX,100,51,0,0.204082,0.795918,10,0.036750,0.038565
6,2,2,2.5,2,10000,0,100,2,100,7,0,BFB,MINMAX,100,50,0,0.060000,0.940000,3,0.035145,0.036904
6,2,2,2.5,2,10000,0,100,2,5000,3,0,BFB,MINMAX,100,17,0,1.000000,0.000000,83,0.034915,0.043656
6,2,2,2.5,2,10000,0,100,2,5000,4,0,BFB,MINMAX,100,26,0,0.986486,0.013514,73,0.032768,0.042677
6,2,2,2.5,2,10000,0,100,2,5000,5,0,BFB,MINMAX,100,48,0,0.903846,0.096154,47,0.034271,0.042427
6,2,2,2.5,2,10000,0,100,2,5000,6,0,BFB,MINMAX,100,44,0,0.767857,0.232143,43,0.032347,0.036371
6,2,2,2.5,2,10000,0,100,2,5000,7,0,BFB,MINMAX,100,59,0,0.682927,0.317073,28,0.032183,0.035854
6,2,2,2.5,2,10000,0,100,2,500,3,0,BFB,MINMAX,100,26,0,0.972973,0.027027,72,0.033980,0.043930
6,2,2,2.5,2,10000,0,100,2,500,4,0,BFB,MINMAX,100,41,0,0.932203,0.067797,55,0.033590,0.040607
6,2,2,2.5,2,10000,0,100,2,500,5,0,BFB,MINMAX,100,61,0,0.666667,0.333333,26,0.032401,0.037176
6,2,2,2.5,2,10000,0,100,2,500,6,0,BFB,MINMAX,100,59,0,0.414634,0.585366,17,0.029765,0.036367
