pits,heuristics,c,policy,iterations,seed,num_games,type_system,sts_size,domain, max_alg, min_alg, mm_level ,num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games
6,2,0.5,2,1000,0,100,2,5000,0,BFB,MINMAX,3,100,21,0,0.987342,0.012658,78
6,2,0.5,2,1000,0,100,2,500,0,BFB,MINMAX,3,100,31,0,0.927536,0.072464,64
6,2,0.5,2,1000,0,100,2,700,0,BFB,MINMAX,3,100,27,0,0.931507,0.068493,68
6,2,0.5,2,15000,0,100,2,1000,0,BFB,MINMAX,3,100,18,0,0.97561,0.02439,80
6,2,0.5,2,15000,0,100,2,100,0,BFB,MINMAX,3,100,45,0,0.890909,0.109091,49
6,2,0.5,2,15000,0,100,2,5000,0,BFB,MINMAX,3,100,16,0,1,0,84
6,2,0.5,2,15000,0,100,2,500,0,BFB,MINMAX,3,100,32,0,0.955882,0.044118,65
6,2,0.5,2,15000,0,100,2,700,0,BFB,MINMAX,3,100,26,0,0.986486,0.013514,73
6,2,0.5,2,5000,0,100,2,1000,0,BFB,MINMAX,3,100,18,0,0.987805,0.012195,81
6,2,0.5,2,5000,0,100,2,100,0,BFB,MINMAX,3,100,46,0,0.851852,0.148148,46
6,2,0.5,2,5000,0,100,2,5000,0,BFB,MINMAX,3,100,26,0,0.986486,0.013514,73
6,2,0.5,2,5000,0,100,2,500,0,BFB,MINMAX,3,100,32,0,0.926471,0.073529,63
6,2,0.5,2,5000,0,100,2,700,0,BFB,MINMAX,3,100,30,0,0.957143,0.042857,67
6,2,0.5,3,100000,0,100,2,1000,0,BFB,MINMAX,3,100,16,0,1,0,84
6,2,0.5,3,100000,0,100,2,100,0,BFB,MINMAX,3,100,54,0,0.847826,0.152174,39
6,2,0.5,3,100000,0,100,2,5000,0,BFB,MINMAX,3,100,16,0,1,0,84
6,2,0.5,3,100000,0,100,2,500,0,BFB,MINMAX,3,100,28,0,0.944444,0.055556,68
6,2,0.5,3,100000,0,100,2,700,0,BFB,MINMAX,3,100,25,0,0.96,0.04,72
6,2,0.5,3,10000,0,100,2,1000,0,BFB,MINMAX,3,100,27,0,0.972603,0.027397,71
6,2,0.5,3,10000,0,100,2,100,0,BFB,MINMAX,3,100,57,0,0.883721,0.116279,38
6,2,0.5,3,10000,0,100,2,5000,0,BFB,MINMAX,3,100,19,0,1,0,81
6,2,0.5,3,10000,0,100,2,500,0,BFB,MINMAX,3,100,28,0,0.958333,0.041667,69
6,2,0.5,3,10000,0,100,2,700,0,BFB,MINMAX,3,100,30,0,0.985714,0.014286,69
6,2,0.5,3,1000,0,100,2,1000,0,BFB,MINMAX,3,100,24,0,0.986842,0.013158,75
6,2,0.5,3,1000,0,100,2,100,0,BFB,MINMAX,3,100,48,0,0.903846,0.096154,47
6,2,0.5,3,1000,0,100,2,5000,0,BFB,MINMAX,3,100,18,0,0.987805,0.012195,81
6,2,0.5,3,1000,0,100,2,500,0,BFB,MINMAX,3,100,32,0,0.985294,0.014706,67
6,2,0.5,3,1000,0,100,2,700,0,BFB,MINMAX,3,100,24,0,0.973684,0.026316,74
6,2,0.5,3,15000,0,100,2,1000,0,BFB,MINMAX,3,100,23,0,1,0,77
6,2,0.5,3,15000,0,100,2,100,0,BFB,MINMAX,3,100,42,0,0.844828,0.155172,49
6,2,0.5,3,15000,0,100,2,5000,0,BFB,MINMAX,3,100,27,0,0.986301,0.013699,72
6,2,0.5,3,15000,0,100,2,500,0,BFB,MINMAX,3,100,32,0,0.970588,0.029412,66
6,2,0.5,3,15000,0,100,2,700,0,BFB,MINMAX,3,100,30,0,1,0,70
6,2,0.5,3,5000,0,100,2,1000,0,BFB,MINMAX,3,100,21,0,0.974684,0.025316,77
6,2,0.5,3,5000,0,100,2,100,0,BFB,MINMAX,3,100,39,0,0.803279,0.196721,49
